player_dismissed,wicket_taker,max_dismissed
"JR Hopes","M Ntini",1
"JR Hopes","Umar Gul",1
"JR Hopes","SM Pollock",1
"JR Hopes","A Mishra",1
"JR Hopes","YK Pathan",1
"JR Hopes","R Vinay Kumar",1
"JR Hopes","JA Morkel",1
"JR Hopes","Z Khan",1
"JR Hopes","AB Dinda",1
"JR Hopes","SK Warne",1
"JR Hopes","P Amarnath",1
"KC Sangakkara","R Sharma",5
"T Kohli","AB Dinda",1
"T Kohli","M Ntini",1
"T Kohli","GD McGrath",1
"DS Lehmann","IK Pathan",1
"DS Lehmann","MF Maharoof",1
"M Kaif","M Muralitharan",2
"M Kaif","A Mishra",2
"M Kaif","RR Raje",2
"M Kaif","S Sreesanth",2
"M Rawat","Mohammad Asif",1
"M Rawat","A Nehra",1
"M Rawat","P Kumar",1
"M Rawat","R Bhatia",1
"SK Warne","A Mishra",3
"V Sehwag","AG Murtaza",3
"V Sehwag","MM Patel",3
"V Sehwag","A Nehra",3
"V Sehwag","P Kumar",3
"V Sehwag","DW Steyn",3
"V Sehwag","SR Watson",3
"L Ronchi","DP Nannes",1
"L Ronchi","RP Singh",1
"L Ronchi","B Lee",1
"L Ronchi","JDP Oram",1
"L Ronchi","Z Khan",1
"ST Jayasuriya","RE van der Merwe",2
"ST Jayasuriya","RP Singh",2
"ST Jayasuriya","DW Steyn",2
"ST Jayasuriya","SR Watson",2
"ST Jayasuriya","B Lee",2
"PR Shah","DP Nannes",1
"PR Shah","R Bhatia",1
"PR Shah","TL Suman",1
"PR Shah","VY Mahesh",1
"PR Shah","S Sreesanth",1
"PR Shah","RP Singh",1
"PR Shah","B Akhil",1
"AM Nayar","A Nehra",2
"AM Nayar","IK Pathan",2
"SM Pollock","Sohail Tanvir",1
"SM Pollock","MF Maharoof",1
"SM Pollock","Yuvraj Singh",1
"SM Pollock","VY Mahesh",1
"SM Pollock","SB Bangar",1
"SM Pollock","S Sreesanth",1
"SM Pollock","P Amarnath",1
"SM Pollock","Z Khan",1
"S Chanderpaul","I Sharma",1
"S Chanderpaul","SR Watson",1
"S Chanderpaul","DS Kulkarni",1
"LRPL Taylor","PP Ojha",3
"Y Venugopal Rao","R Ashwin",3
"Y Venugopal Rao","SL Malinga",3
"VVS Laxman","DJ Bravo",2
"VVS Laxman","AB Dinda",2
"AC Gilchrist","IK Pathan",4
"SB Styris","KP Pietersen",1
"SB Styris","M Muralitharan",1
"SB Styris","Z Khan",1
"SB Styris","MF Maharoof",1
"SB Styris","SC Ganguly",1
"SB Styris","YK Pathan",1
"SB Styris","Mohammad Hafeez",1
"AS Yadav","JA Morkel",1
"AS Yadav","DW Steyn",1
"AS Yadav","SR Watson",1
"AS Yadav","VY Mahesh",1
"AS Yadav","DJ Hussey",1
"A Symonds","A Mishra",3
"WPUJC Vaas","PD Collingwood",1
"WPUJC Vaas","SW Tait",1
"WPUJC Vaas","IK Pathan",1
"WPUJC Vaas","CK Langeveldt",1
"WPUJC Vaas","YK Pathan",1
"WPUJC Vaas","LR Shukla",1
"WPUJC Vaas","DW Steyn",1
"WPUJC Vaas","AB Agarkar",1
"SB Bangar","Kamran Khan",1
"SB Bangar","SC Ganguly",1
"SB Bangar","SR Watson",1
"SB Bangar","R Vinay Kumar",1
"SB Bangar","PP Chawla",1
"SB Bangar","R Bhatia",1
"SB Bangar","M Kartik",1
"PP Ojha","SK Raina",2
"Mohammad Hafeez","MM Patel",1
"Mohammad Hafeez","M Ntini",1
"Mohammad Hafeez","SM Pollock",1
"Mohammad Hafeez","IK Pathan",1
"Mohammad Hafeez","ST Jayasuriya",1
"Mohammad Hafeez","P Amarnath",1
"Mohammad Hafeez","PP Ojha",1
"DPMD Jayawardene","I Sharma",3
"DPMD Jayawardene","SL Malinga",3
"DPMD Jayawardene","DL Vettori",3
"DPMD Jayawardene","JA Morkel",3
"DPMD Jayawardene","M Muralitharan",3
"B Lee","RP Singh",1
"B Lee","AB Agarkar",1
"B Lee","M Muralitharan",1
"B Lee","Z Khan",1
"B Lee","SK Raina",1
"B Lee","SL Malinga",1
"B Lee","SK Trivedi",1
"S Sohal","RP Singh",2
"Kamran Akmal","JA Morkel",1
"Kamran Akmal","A Nehra",1
"Kamran Akmal","PP Chawla",1
"Kamran Akmal","WPUJC Vaas",1
"Kamran Akmal","JR Hopes",1
"Shahid Afridi","L Balaji",1
"Shahid Afridi","P Kumar",1
"Shahid Afridi","DJ Bravo",1
"Shahid Afridi","A Mishra",1
"Shahid Afridi","SK Warne",1
"Shahid Afridi","Gagandeep Singh",1
"Shahid Afridi","YK Pathan",1
"Shahid Afridi","R Bhatia",1
"MEK Hussey","Z Khan",4
"DJ Bravo","PP Ojha",3
"DJ Bravo","RP Singh",3
"MA Khote","S Sreesanth",1
"MA Khote","M Muralitharan",1
"GC Smith","P Kumar",2
"D Salunkhe","JR Hopes",1
"D Salunkhe","RP Singh",1
"RR Sarwan","L Balaji",1
"RR Sarwan","P Kumar",1
"RR Sarwan","SB Bangar",1
"RR Sarwan","A Nehra",1
"S Sreesanth","RE van der Merwe",1
"S Sreesanth","WD Parnell",1
"S Sreesanth","DS Kulkarni",1
"VRV Singh","L Balaji",1
"VRV Singh","DS Kulkarni",1
"AB Agarkar","SR Watson",2
"M Kartik","L Balaji",2
"LR Shukla","Z Khan",2
"LR Shukla","VRV Singh",2
"Shoaib Malik","L Balaji",1
"Shoaib Malik","SM Pollock",1
"Shoaib Malik","DW Steyn",1
"Shoaib Malik","VRV Singh",1
"MF Maharoof","L Ablish",1
"MF Maharoof","Iqbal Abdulla",1
"MF Maharoof","ST Jayasuriya",1
"MF Maharoof","B Lee",1
"MF Maharoof","SK Warne",1
"MF Maharoof","JR Hopes",1
"MF Maharoof","PP Ojha",1
"MF Maharoof","AB Dinda",1
"MF Maharoof","SR Watson",1
"MF Maharoof","IK Pathan",1
"SM Katich","M Muralitharan",1
"SM Katich","A Symonds",1
"SM Katich","MF Maharoof",1
"SM Katich","DS Kulkarni",1
"SM Katich","RG Sharma",1
"SM Katich","L Balaji",1
"SM Katich","SK Trivedi",1
"SM Katich","BJ Hodge",1
"SM Katich","JD Ryder",1
"SM Katich","R Bhatia",1
"TM Srivastava","VY Mahesh",1
"B Chipli","AB Agarkar",1
"B Chipli","JA Morkel",1
"B Chipli","R Vinay Kumar",1
"B Chipli","KA Pollard",1
"B Chipli","PC Valthaty",1
"B Chipli","R Bhatia",1
"B Chipli","SK Trivedi",1
"B Chipli","RP Singh",1
"B Chipli","GD McGrath",1
"B Chipli","MS Gony",1
"DB Das","S Sreesanth",2
"DB Das","Sohail Tanvir",2
"HH Gibbs","Z Khan",3
"DNT Zoysa","S Sreesanth",1
"D Kalyankrishna","IK Pathan",1
"SA Asnodkar","P Kumar",2
"SA Asnodkar","JA Morkel",2
"Salman Butt","S Sreesanth",1
"Salman Butt","MM Patel",1
"Salman Butt","L Balaji",1
"Salman Butt","SM Pollock",1
"Salman Butt","VY Mahesh",1
"Salman Butt","WPUJC Vaas",1
"Salman Butt","Sohail Tanvir",1
"BJ Hodge","M Morkel",2
"BJ Hodge","YK Pathan",2
"BJ Hodge","RJ Harris",2
"BJ Hodge","A Nehra",2
"BJ Hodge","SL Malinga",2
"BJ Hodge","Z Khan",2
"Umar Gul","Sohail Tanvir",2
"SP Fleming","DP Vijaykumar",1
"SP Fleming","YK Pathan",1
"SP Fleming","A Kumble",1
"SP Fleming","DS Kulkarni",1
"SP Fleming","S Sreesanth",1
"SP Fleming","Mohammad Asif",1
"SP Fleming","SB Styris",1
"SP Fleming","Sohail Tanvir",1
"SP Fleming","VY Mahesh",1
"S Vidyut","YK Pathan",1
"S Vidyut","IK Pathan",1
"S Vidyut","DW Steyn",1
"S Vidyut","SM Pollock",1
"S Vidyut","S Sreesanth",1
"S Vidyut","PJ Sangwan",1
"S Vidyut","Sohail Tanvir",1
"S Vidyut","GD McGrath",1
"JA Morkel","PP Ojha",3
"LPC Silva","AM Nayar",1
"LPC Silva","V Kohli",1
"DB Ravi Teja","SL Malinga",3
"RP Singh","SK Trivedi",2
"RP Singh","DW Steyn",2
Misbah-ul-Haq,"Shahid Afridi",1
Misbah-ul-Haq,"L Balaji",1
Misbah-ul-Haq,"MM Patel",1
Misbah-ul-Haq,"S Sreesanth",1
Misbah-ul-Haq,"CRD Fernando",1
Misbah-ul-Haq,"PP Chawla",1
Misbah-ul-Haq,"DB Ravi Teja",1
"YV Takawale","SK Trivedi",1
"YV Takawale","SK Warne",1
"YV Takawale","VY Mahesh",1
"DJ Thornely","Shahid Afridi",1
"DJ Thornely","R Bhatia",1
"DJ Thornely","Z Khan",1
"Mohammad Asif","RA Jadeja",1
"Mohammad Asif","DS Kulkarni",1
"GD McGrath","DS Kulkarni",1
"S Badrinath","RP Singh",3
"Joginder Sharma","Harbhajan Singh",1
"Joginder Sharma","DP Nannes",1
"Joginder Sharma","RP Singh",1
"Joginder Sharma","MM Patel",1
"M Muralitharan","A Symonds",1
"M Muralitharan","P Kumar",1
"M Muralitharan","DP Nannes",1
"M Muralitharan","Sohail Tanvir",1
"M Ntini","Sohail Tanvir",1
"DT Patil","SK Warne",1
"DT Patil","VRV Singh",1
"A Kumble","YA Abdulla",1
"A Kumble","Sohail Tanvir",1
"A Kumble","IK Pathan",1
"S Anirudha","JE Taylor",1
"S Anirudha","Harbhajan Singh",1
"S Anirudha","P Kumar",1
"S Anirudha","JH Kallis",1
"S Anirudha","RJ Harris",1
"S Anirudha","RP Singh",1
"Sohail Tanvir","MF Maharoof",1
"Sohail Tanvir","Umar Gul",1
"Sohail Tanvir","A Nehra",1
"SK Trivedi","B Lee",1
"SK Trivedi","AB Dinda",1
"SK Trivedi","DR Smith",1
"SK Trivedi","RP Singh",1
"SK Trivedi","L Balaji",1
"SK Trivedi","DJ Bravo",1
"CK Kapugedera","Sohail Tanvir",1
"CK Kapugedera","DS Kulkarni",1
"CK Kapugedera","VY Mahesh",1
"A Chopra","PP Ojha",1
"A Chopra","JR Hopes",1
"A Chopra","SM Pollock",1
"A Chopra","PJ Sangwan",1
"A Chopra","Y Venugopal Rao",1
"A Chopra","DW Steyn",1
"T Taibu","PJ Sangwan",1
"T Taibu","RP Singh",1
"T Taibu","DW Steyn",1
"J Arunkumar","Sohail Tanvir",1
"J Arunkumar","S Sreesanth",1
"J Arunkumar","Umar Gul",1
"R Vinay Kumar","A Singh",3
"TM Dilshan","S Sreesanth",3
"TM Dilshan","I Sharma",3
"TM Dilshan","RP Singh",3
"VY Mahesh","MM Patel",1
"VY Mahesh","LR Shukla",1
"SR Tendulkar","PP Chawla",3
"SR Tendulkar","R Bhatia",3
"SR Tendulkar","RP Singh",3
"Younis Khan","IK Pathan",1
"Niraj Patel","CK Langeveldt",1
"Niraj Patel","JD Ryder",1
"Niraj Patel","MS Gony",1
"Niraj Patel","PP Chawla",1
"Shoaib Akhtar","RR Raje",1
"H Das","CRD Fernando",1
"SD Chitnis","WD Parnell",1
"SD Chitnis","DJ Bravo",1
"SD Chitnis","VY Mahesh",1
"SD Chitnis","VRV Singh",1
"A Nehra","IK Pathan",1
"A Nehra","VRV Singh",1
"VS Yeligati","VRV Singh",1
"MS Gony","R McLaren",1
"MS Gony","J Theron",1
"MS Gony","PP Chawla",1
"MS Gony","DL Vettori",1
"MS Gony","P Kumar",1
"L Balaji","A Mishra",1
"L Balaji","RP Singh",1
"L Balaji","R Vinay Kumar",1
"L Balaji","A Nehra",1
"L Balaji","DP Nannes",1
"L Balaji","DW Steyn",1
"LA Pomersbach","M Muralitharan",1
"LA Pomersbach","A Symonds",1
"LA Pomersbach","MF Maharoof",1
"LA Pomersbach","AM Rahane",1
"LA Pomersbach","PP Ojha",1
"A Nel","VY Mahesh",1
"A Mukund","Sohail Tanvir",1
"WA Mota","TL Suman",2
"JP Duminy","Z Khan",2
"JP Duminy","JA Morkel",2
"JP Duminy","SK Trivedi",2
"JP Duminy","DP Nannes",2
"A Flintoff","A Nehra",1
"A Flintoff","Harbhajan Singh",1
"JD Ryder","Harbhajan Singh",2
"JD Ryder","IK Pathan",2
"KP Pietersen","Harbhajan Singh",3
"T Henderson","AB Agarkar",1
"T Henderson","JD Ryder",1
"Kamran Khan","A Kumble",1
"RS Bopara","DJ Bravo",2
"R Bishnoi","YA Abdulla",1
"R Bishnoi","Harmeet Singh",1
"R Bishnoi","M Muralitharan",1
"PC Valthaty","IK Pathan",2
"PC Valthaty","A Mishra",2
"RJ Quiney","A Nehra",2
"Yashpal Singh","MM Patel",1
"Yashpal Singh","A Mishra",1
"Yashpal Singh","DJ Bravo",1
"Yashpal Singh","SK Warne",1
"Pankaj Singh","KA Pollard",1
"Pankaj Singh","IK Pathan",1
"FH Edwards","SL Malinga",1
"AS Raut","R Ashwin",1
"AS Raut","BA Bhatt",1
"AS Raut","R Bhatia",1
"AS Raut","JD Unadkat",1
"AS Raut","Harmeet Singh",1
"AS Raut","A Mishra",1
"AS Raut","RG Sharma",1
"AS Raut","SB Jakati",1
"AS Raut","PP Chawla",1
"AN Ghosh","R Vinay Kumar",1
"AN Ghosh","AM Nayar",1
"BAW Mendis","SL Malinga",1
"DL Vettori","PP Chawla",1
"DL Vettori","IK Pathan",1
"DL Vettori","MM Patel",1
"RE van der Merwe","AD Mathews",1
"RE van der Merwe","PP Ojha",1
"RE van der Merwe","JA Morkel",1
"RE van der Merwe","A Symonds",1
"RE van der Merwe","L Balaji",1
"RE van der Merwe","Harbhajan Singh",1
"RE van der Merwe","A Singh",1
"RE van der Merwe","YA Abdulla",1
"RE van der Merwe","I Sharma",1
"RR Powar","RE van der Merwe",1
"RR Powar","DP Nannes",1
"RR Powar","DJ Bravo",1
"AA Bilakhia","SK Warne",1
"AA Bilakhia","R Vinay Kumar",1
"AA Bilakhia","A Mishra",1
"AA Bilakhia","SM Harwood",1
"AA Bilakhia","DL Vettori",1
"TL Suman","Harbhajan Singh",3
"Shoaib Ahmed","R Bhatia",1
"Shoaib Ahmed","DP Nannes",1
"GR Napier","CH Gayle",1
"MN van Wyk","DP Nannes",1
"MN van Wyk","A Nehra",1
"MN van Wyk","GR Napier",1
"LA Carseldine","WPUJC Vaas",1
"LA Carseldine","SK Raina",1
"LA Carseldine","A Kumble",1
"LA Carseldine","Y Venugopal Rao",1
"M Vijay","SR Watson",4
"SB Jakati","DP Nannes",1
"M Manhas","SL Malinga",2
"M Manhas","R Sharma",2
"RJ Harris","MM Patel",2
"D du Preez","A Singh",1
"RR Raje","R Bhatia",1
"S Tyagi","P Kumar",1
"C Nanda","MM Patel",1
"A Singh","SK Raina",1
"A Singh","Shakib Al Hasan",1
"A Singh","A Mishra",1
"AB McDonald","DE Bollinger",1
"AB McDonald","A Kumble",1
"Y Nagar","R Vinay Kumar",2
"SS Shaikh","J Botha",1
"R Ashwin","Harbhajan Singh",3
"T Thushara","RJ Harris",1
"T Thushara","IK Pathan",1
"Mohammad Ashraful","PJ Sangwan",1
"CA Pujara","JH Kallis",2
"Anirudh Singh","JH Kallis",1
"Anirudh Singh","SK Warne",1
"Anirudh Singh","Bipul Sharma",1
"Anirudh Singh","LR Shukla",1
"R Sathish","JA Morkel",2
"AA Jhunjhunwala","SJ Srivastava",1
"AA Jhunjhunwala","KA Pollard",1
"AA Jhunjhunwala","Pankaj Singh",1
"AA Jhunjhunwala","Harbhajan Singh",1
"AA Jhunjhunwala","Harmeet Singh",1
"AA Jhunjhunwala","DE Bollinger",1
"AA Jhunjhunwala","MF Maharoof",1
"AA Jhunjhunwala","T Thushara",1
"AA Jhunjhunwala","I Sharma",1
"AA Jhunjhunwala","JH Kallis",1
"AA Jhunjhunwala","SL Malinga",1
"P Dogra","M Kartik",1
"P Dogra","S Ladda",1
"P Dogra","T Thushara",1
"P Dogra","IK Pathan",1
"P Dogra","I Sharma",1
"P Dogra","P Kumar",1
"P Dogra","A Mishra",1
"P Dogra","SL Malinga",1
"A Uniyal","SL Malinga",1
"MS Bisla","A Mishra",2
"MS Bisla","SK Warne",2
"MS Bisla","JA Morkel",2
"JM Kemp","DP Nannes",1
"JM Kemp","PP Ojha",1
"OA Shah","Z Khan",2
"RS Gavaskar","JM Kemp",1
"SE Bond","R Ashwin",1
"DP Nannes","Harbhajan Singh",1
"MJ Lumb","JA Morkel",2
"DR Martyn","P Kumar",1
"S Narwal","PD Collingwood",1
"S Narwal","P Kumar",1
"AB Barath","JP Duminy",1
"AB Barath","PP Ojha",1
"FY Fazal","Iqbal Abdulla",1
"FY Fazal","AB Dinda",1
"FY Fazal","Harbhajan Singh",1
"FY Fazal","PP Ojha",1
"FY Fazal","M Muralitharan",1
"FY Fazal","MF Maharoof",1
"FY Fazal","SB Jakati",1
"FY Fazal","IK Pathan",1
"FY Fazal","SE Bond",1
"MD Mishra","P Kumar",2
"S Ladda","WPUJC Vaas",1
"J Theron","SW Tait",1
"J Theron","L Balaji",1
"SJ Srivastava","SW Tait",1
"R Sharma","MM Patel",2
"AC Voges","AB Dinda",1
"AC Voges","Z Khan",1
"AC Voges","A Mishra",1
"AC Voges","JA Morkel",1
"Jaskaran Singh","Harbhajan Singh",1
"KAJ Roach","Z Khan",1
"PD Collingwood","KA Pollard",1
"PD Collingwood","PP Chawla",1
"PD Collingwood","BAW Mendis",1
"PD Collingwood","S Narwal",1
"PD Collingwood","CK Langeveldt",1
"CK Langeveldt","AB McDonald",1
"VS Malik","Z Khan",1
"SW Tait","Shakib Al Hasan",1
"SW Tait","V Sehwag",1
"A Mithun","M Morkel",1
"A Mithun","A Mishra",1
"AP Dole","Harbhajan Singh",1
"AP Dole","RJ Harris",1
"Harmeet Singh","M Muralitharan",1
"Harmeet Singh","SK Trivedi",1
"R McLaren","S Aravind",1
"R McLaren","SW Tait",1
"R McLaren","KP Pietersen",1
"R McLaren","L Ablish",1
"R McLaren","R Ashwin",1
"S Sriram","AB Dinda",1
"KP Appanna","RJ Harris",1
"C Madan","AB McDonald",1
"AG Paunikar","Iqbal Abdulla",1
